"Title","1722110000: Toilet Paper, Handkerchiefs, Cleansing or Facial Tissues/Towels's"
"CDID","K2XB"
"Source dataset ID","MM22"
"PreUnit",""
"Unit",""
"Release date","21-10-2020"
"Next release","18 November 2020"
"Important notes",
"2011","102.7"
"2012","103.7"
"2013","106.1"
"2014","106.1"
"2015","105.3"
"2016","104.3"
"2017","104.1"
"2018","107.7"
"2019","108.7"
"2009 Q1","102.4"
"2009 Q2","102.5"
"2009 Q3",""
"2009 Q4",""
"2010 Q1",""
"2010 Q2",""
"2010 Q3",""
"2010 Q4",""
"2011 Q1","101.3"
"2011 Q2","103.2"
"2011 Q3","103.4"
"2011 Q4","103.1"
"2012 Q1","104.2"
"2012 Q2","103.9"
"2012 Q3","104.2"
"2012 Q4","102.5"
"2013 Q1","104.8"
"2013 Q2","106.5"
"2013 Q3","106.5"
"2013 Q4","106.4"
"2014 Q1","106.5"
"2014 Q2","106.6"
"2014 Q3","106.1"
"2014 Q4","105.2"
"2015 Q1","105.6"
"2015 Q2","106.2"
"2015 Q3","104.7"
"2015 Q4","104.7"
"2016 Q1","103.9"
"2016 Q2","104.9"
"2016 Q3","103.3"
"2016 Q4","105.2"
"2017 Q1","103.0"
"2017 Q2","104.0"
"2017 Q3","104.5"
"2017 Q4","105.0"
"2018 Q1","106.3"
"2018 Q2","107.6"
"2018 Q3","108.4"
"2018 Q4","108.5"
"2019 Q1","109.1"
"2019 Q2","108.4"
"2019 Q3","109.0"
"2019 Q4","108.2"
"2020 Q1","106.4"
"2020 Q2","105.4"
"2020 Q3","104.5"
"1996 JAN","0.0"
"1996 FEB","0.0"
"1996 MAR","0.0"
"1996 APR","0.0"
"1996 MAY","0.0"
"1996 JUN","0.0"
"1996 JUL","0.0"
"1996 AUG","0.0"
"1996 SEP","0.0"
"1996 OCT","0.0"
"1996 NOV","0.0"
"1996 DEC","0.0"
"1997 JAN","0.0"
"1997 FEB","0.0"
"1997 MAR","0.0"
"1997 APR","0.0"
"1997 MAY","0.0"
"1997 JUN","0.0"
"1997 JUL","0.0"
"1997 AUG","0.0"
"1997 SEP","0.0"
"1997 OCT","0.0"
"1997 NOV","0.0"
"1997 DEC","0.0"
"1998 JAN","0.0"
"1998 FEB","0.0"
"1998 MAR","0.0"
"1998 APR","0.0"
"1998 MAY","0.0"
"1998 JUN","0.0"
"1998 JUL","0.0"
"1998 AUG","0.0"
"1998 SEP","0.0"
"1998 OCT","0.0"
"1998 NOV","0.0"
"1998 DEC","0.0"
"1999 JAN","0.0"
"1999 FEB","0.0"
"1999 MAR","0.0"
"1999 APR","0.0"
"1999 MAY","0.0"
"1999 JUN","0.0"
"1999 JUL","0.0"
"1999 AUG","0.0"
"1999 SEP","0.0"
"1999 OCT","0.0"
"1999 NOV","0.0"
"1999 DEC","0.0"
"2000 JAN","0.0"
"2000 FEB","0.0"
"2000 MAR","0.0"
"2000 APR","0.0"
"2000 MAY","0.0"
